mcs,tumor_cells,normal_cells,hypoxic_cells,necrotic_cells,tumor_like_cells,hypoxic_fraction,necrotic_fraction,avg_tumor_volume,total_tumor_volume,avg_tumor_target_volume,avg_tumor_volume_growth_rate,avg_tumor_target_growth_rate,total_tumor_volume_growth_rate,endothelial_cells,vascular_like_cells,active_neovascular_cells,vascular_cells,inactive_neovascular_cells,avg_endothelial_volume,avg_vascular_volume,avg_endothelial_volume_growth_rate,avg_vascular_volume_growth_rate,mean_tumor_oxygen,mean_tumor_vegf,mean_tumor_vegf1,mean_tumor_vegf2,mean_endothelial_oxygen,mean_endothelial_vegf,mean_vascular_oxygen,mean_vascular_vegf1,mean_vascular_vegf2
53,13,13,17,48,78,0.21794871794871795,0.6153846153846154,22.205128205128204,1732.0,21.686091447487854,-0.21794871794871795,-0.3050131186460837,-17.0,13,13,0,1,12,103.38461538461539,103.38461538461539,0.23076923076923078,0.23076923076923078,3.3333444204659033,20.745598272635387,3.279173933729136e-07,20.745598272635387,74.84190075214093,0.006463151819983837,74.84190075214093,14.344796327444223,0.006463151819983837
54,13,13,17,48,78,0.21794871794871795,0.6153846153846154,21.987179487179485,1715.0,21.38106590662247,-0.21794871794871795,-0.30502554086538464,-17.0,13,13,0,1,12,103.0,103.0,-0.38461538461538464,-0.38461538461538464,3.3301560301811266,21.100569655497868,4.580488115462612e-07,21.100569655497868,74.60391294039212,0.008304137915169681,74.60391294039212,14.140058150658241,0.008304137915169681
55,13,13,17,48,78,0.21794871794871795,0.6153846153846154,21.641025641025642,1688.0,21.076017624292618,-0.34615384615384615,-0.30504828232985276,-27.0,13,13,0,1,12,103.23076923076923,103.23076923076923,0.23076923076923078,0.23076923076923078,3.312067719415212,21.62054923253182,6.144483270422007e-07,21.62054923253182,74.46036236102765,0.00938778299517323,74.46036236102765,13.772728351446299,0.00938778299517323
56,13,13,17,48,78,0.21794871794871795,0.6153846153846154,21.256410256410255,1658.0,20.770975993229793,-0.38461538461538464,-0.3050416310628255,-30.0,13,13,0,1,12,102.61538461538461,102.61538461538461,-0.6153846153846154,-0.6153846153846154,3.373372944883811,22.064069729584915,7.968035875488716e-07,22.064069729584915,74.61528778076172,0.01092221182688473,74.61528778076172,14.13758296232957,0.01092221182688473
57,14,14,16,48,78,0.20512820512820512,0.6153846153846154,21.012820512820515,1639.0,20.465932552631084,-0.24358974358974358,-0.3050434405987079,-19.0,13,13,0,1,12,103.15384615384616,103.15384615384616,0.5384615384615384,0.5384615384615384,3.3994607124000025,22.456330579060776,1.0040471274700317e-06,22.456330579060776,74.35726723304161,0.016027354604375432,74.35726723304161,13.747830977806679,0.016027354604375432
58,14,14,16,48,78,0.20512820512820512,0.6153846153846154,20.76923076923077,1620.0,20.16090295253656,-0.24358974358974358,-0.30502960009452623,-19.0,13,13,0,1,12,101.92307692307692,101.92307692307692,-1.2307692307692308,-1.2307692307692308,3.4204185032882752,22.748708598888836,1.2344623827423866e-06,22.748708598888836,74.32786207932692,0.01812231801627954,74.32786207932692,14.023503596966084,0.01812231801627954
59,13,13,17,48,78,0.21794871794871795,0.6153846153846154,20.564102564102566,1604.0,19.855853643172825,-0.20512820512820512,-0.305049309363732,-16.0,13,13,0,1,12,102.23076923076923,102.23076923076923,0.3076923076923077,0.3076923076923077,3.4062822986489687,23.21162816270804,1.4857993139296413e-06,23.21162816270804,74.19066649216872,0.021079309426987984,74.19066649216872,14.071876782637377,0.021079309426987984
60,13,13,17,48,78,0.21794871794871795,0.6153846153846154,20.346153846153847,1587.0,19.55079929645245,-0.21794871794871795,-0.3050543467203776,-17.0,13,13,0,1,12,102.15384615384616,102.15384615384616,-0.07692307692307693,-0.07692307692307693,3.3956137516368656,23.784135265228077,6.384621397869734e-07,23.784135265228077,73.82391709547777,0.025905666494509205,73.82391709547777,13.791613028599667,0.025905666494509205
61,14,14,16,48,78,0.20512820512820512,0.6153846153846154,19.987179487179485,1559.0,19.245747248331707,-0.358974358974359,-0.3050520481207432,-28.0,13,13,0,1,12,102.6923076923077,102.6923076923077,0.5384615384615384,0.5384615384615384,3.3848002161353063,24.21463341285021,7.25638174064115e-07,24.21463341285021,74.19006582406851,0.022198930123592548,74.19006582406851,13.933444197361286,0.022198930123592548
62,13,13,17,48,78,0.21794871794871795,0.6153846153846154,19.705128205128204,1537.0,18.940679599077274,-0.28205128205128205,-0.3050676492544321,-22.0,13,13,0,1,12,102.46153846153847,102.46153846153847,-0.23076923076923078,-0.23076923076923078,3.4019452726038604,24.92765376201043,2.4481688525754795e-06,24.92765376201043,74.16143798828125,0.027824973624704468,74.16143798828125,13.967300910216112,0.027824973624704468
