run,mcs,phase,is_growth_window,tumor_cells,normal_cells,hypoxic_cells,necrotic_cells,tumor_like_cells,hypoxic_fraction,necrotic_fraction,avg_tumor_volume,avg_normal_volume,avg_hypoxic_volume,avg_necrotic_volume,total_tumor_volume,avg_tumor_target_volume,tumor_effective_radius,tumor_mean_radius,tumor_radius_std,tumor_radial_cv,tumor_span_x,tumor_span_y,tumor_aspect_ratio,mean_tumor_to_vessel_distance,min_tumor_to_vessel_distance,tumor_near_vessel_fraction,hypoxic_core_offset,hypoxic_mean_radius,necrotic_mean_radius,hypoxic_inner_fraction,necrotic_inner_fraction,normal_fraction,vessel_coverage_gap,normal_mean_radius,mean_dist_to_sprout,min_dist_to_sprout,proximity_threshold,avg_tumor_volume_growth_rate,avg_tumor_target_growth_rate,total_tumor_volume_growth_rate,mean_tumor_oxygen,mean_tumor_vegf,mean_tumor_vegf1,mean_tumor_vegf2
10,1700,growth,1,196,37,129,30,196,0.6581632653061225,0.1530612244897959,29.790816326530617,33.91891891891892,33.87596899224806,7.133333333333334,5839.0,28.954032333529724,43.11161589904923,26.142724582435235,12.40635718350086,0.4745625171691721,86.0,78.0,1.1025641025641026,72.21176501799903,50.35871324805669,0.0,1.6461110052721015,26.806340479689908,5.077865863966218,0.2790697674418604,1.0,0.1887755102040816,-0.1887755102040816,40.908651901576256,0.0,0.0,15.0,0.0071428571428571,0.009902879170009,1.4,16.8641212229826,22.36294377579981,1.7399095771854582e-21,22.36294377579981
10,1710,growth,1,206,34,135,37,206,0.6553398058252428,0.1796116504854369,28.490291262135923,34.6764705882353,32.97037037037037,6.45945945945946,5869.0,27.673777959879164,43.22222486190024,25.36512801892192,12.613146472781729,0.4972632688221622,86.0,78.0,1.1025641025641026,72.87082322122527,50.24937810560445,0.0,1.7497621214941514,26.745413528009028,5.618335513643028,0.2888888888888888,1.0,0.1650485436893204,-0.1650485436893204,41.37373916505602,0.0,0.0,15.0,0.0145631067961165,0.0125281176520782,3.0,16.55074385763372,22.64789185014743,1.8667266036256516e-21,22.64789185014743
10,1720,growth,1,204,38,134,32,204,0.6568627450980392,0.1568627450980392,28.936274509803923,35.13157894736842,32.58955223880597,6.28125,5903.0,28.394862614425957,43.347240490519305,25.813018386225583,12.671575299318125,0.4908986275731306,86.0,78.0,1.1025641025641026,72.3632060957608,50.24937810560445,0.0,1.2723487398407065,26.50092075213696,4.731556709291844,0.2985074626865671,1.0,0.1862745098039215,-0.1862745098039215,41.140067244903335,0.0,0.0,15.0,0.0166666666666666,0.0449773105920529,3.4,16.77584027776531,22.41651135332444,2.196795336826636e-21,22.41651135332444
10,1730,growth,1,207,38,129,40,207,0.6231884057971014,0.1932367149758454,28.729468599033815,36.078947368421055,33.689922480620154,5.75,5947.0,28.198173458449507,43.508492195604795,25.22207165074496,12.946879395848493,0.5133154633420484,87.0,79.0,1.1012658227848102,72.96088967010178,49.36598018878993,0.0,1.9021284954919468,26.64494749281058,5.437657358112237,0.3023255813953488,1.0,0.1835748792270531,-0.1835748792270531,41.21748186334611,0.0,0.0,15.0,0.0212560386473429,0.0214830592058706,4.4,16.565547569938328,22.56552611917689,4.6655951261690816e-21,22.56552611917689
10,1740,growth,1,197,35,127,35,197,0.6446700507614214,0.1776649746192893,30.532994923857867,36.74285714285714,35.58267716535433,6.0,6015.0,30.01040970855558,43.756530545685415,25.76132014985653,12.855720008895398,0.4990318793490478,87.0,79.0,1.1012658227848102,72.5989657603682,49.49747468305833,0.0,1.8878988935593823,26.995620063717,5.366134221684533,0.2913385826771653,1.0,0.1776649746192893,-0.1776649746192893,41.67776067630626,0.0,0.0,15.0,0.0345177664974619,0.0380856886733001,6.8,16.715936733381398,22.43679804245227,5.1299621601439114e-21,22.43679804245227
10,1750,growth,1,200,38,123,39,200,0.615,0.195,30.265,37.68421052631579,35.73170731707317,5.794871794871795,6053.0,29.48102770805359,43.89452973971227,25.16106311378835,13.097325206068144,0.5205394202477385,87.0,80.0,1.0875,73.0038088908826,49.36598018878993,0.0,1.4313495144130992,26.40030280411324,5.4714339011076385,0.3252032520325203,1.0,0.19,-0.19,41.35761725548796,0.0,0.0,15.0,0.019,-0.0079225854873657,3.8,16.4766894197464,22.59712358951569,6.4124137094478075e-21,22.59712358951569
10,1760,growth,1,202,35,130,37,202,0.6435643564356436,0.1831683168316831,30.03960396039604,38.77142857142857,34.33846153846154,6.675675675675675,6068.0,29.201214969748317,43.94888382386112,25.42745415428716,12.742608619027818,0.5011358408792713,87.0,80.0,1.0875,72.67065693172259,50.00999900019995,0.0,1.5459804535426624,26.628621146589012,5.708423728569054,0.2923076923076923,1.0,0.1732673267326732,-0.1732673267326732,41.81180891863944,0.0,0.0,15.0,0.0074257425742574,0.0012078625140803,1.5,16.492721406540067,22.63373036431794,4.813697320409286e-21,22.63373036431794
10,1770,growth,1,205,35,132,38,205,0.6439024390243903,0.1853658536585365,29.765853658536585,39.51428571428571,33.95454545454545,6.2368421052631575,6102.0,28.810096201082555,44.07183823592443,25.628018689890364,12.894893945163384,0.503156100407017,87.0,80.0,1.0875,72.60122663000564,49.01020301937138,0.0,1.9976792013667588,27.005760013078145,5.791686940228343,0.2878787878787879,1.0,0.1707317073170731,-0.1707317073170731,41.96855445635808,0.0,0.0,15.0,0.0165853658536585,0.0036216084550066,3.4,16.543764351635446,22.554680526547315,6.182122935863436e-21,22.554680526547315
10,1780,growth,1,202,35,131,36,202,0.6485148514851485,0.1782178217821782,30.153465346534652,38.08571428571429,34.56488549618321,6.388888888888889,6091.0,29.32854078311731,44.03209643822866,25.804646721191663,12.979503074350012,0.5029909230918009,89.0,79.0,1.1265822784810129,72.39490609739286,49.04079934095691,0.0,2.1988632550336984,27.121005102557035,5.2662015099893456,0.2824427480916031,1.0,0.1732673267326732,-0.1732673267326732,42.0029632824608,0.0,0.0,15.0,-0.0054455445544554,0.0090571866177096,-1.1,16.59562625979433,22.428685844534694,1.0507097788701027e-20,22.428685844534694
10,1790,growth,1,211,38,133,40,211,0.6303317535545023,0.1895734597156398,28.900473933649288,38.39473684210526,33.07518796992481,6.0,6098.0,27.86355675792242,44.05739082093668,25.793157002312412,12.83447405441361,0.4975922122779685,89.0,78.0,1.141025641025641,72.47621375131051,49.04079934095691,0.0,1.692308219485149,27.155969085444905,6.111868050008877,0.3007518796992481,1.0,0.1800947867298578,-0.1800947867298578,41.740460976931374,0.0,0.0,15.0,0.0033175355450236,-0.0214003612644864,0.7,16.566596108025283,22.43659418567097,9.902752910402642e-21,22.43659418567097
