run,mcs,phase,is_growth_window,tumor_cells,normal_cells,hypoxic_cells,necrotic_cells,tumor_like_cells,hypoxic_fraction,necrotic_fraction,avg_tumor_volume,avg_normal_volume,avg_hypoxic_volume,avg_necrotic_volume,total_tumor_volume,avg_tumor_target_volume,tumor_effective_radius,tumor_mean_radius,tumor_radius_std,tumor_radial_cv,tumor_span_x,tumor_span_y,tumor_aspect_ratio,mean_tumor_to_vessel_distance,min_tumor_to_vessel_distance,tumor_near_vessel_fraction,hypoxic_core_offset,hypoxic_mean_radius,necrotic_mean_radius,hypoxic_inner_fraction,necrotic_inner_fraction,avg_tumor_volume_growth_rate,avg_tumor_target_growth_rate,total_tumor_volume_growth_rate,endothelial_cells,neovascular_cells,vascular_like_cells,active_neovascular_cells,vascular_cells,inactive_neovascular_cells,avg_active_neovascular_volume,avg_inactive_neovascular_volume,avg_neovascular_volume,avg_endothelial_volume,avg_parent_vessel_volume,avg_endothelial_volume_growth_rate,avg_parent_vessel_volume_growth_rate,mean_tumor_oxygen,mean_tumor_vegf,mean_tumor_vegf1,mean_tumor_vegf2,mean_endothelial_oxygen,mean_endothelial_vegf,mean_vascular_oxygen,mean_vascular_vegf1,mean_vascular_vegf2,tumor_oxygen_per_neovascular_cell,tumor_oxygen_per_neovascular_volume,hypoxia_per_neovascular_cell,mean_tumor_hif1a,mean_tumor_vegf_drive,mean_hif_vegf2_boost,mean_endothelial_effective_vegf2
4,1730,growth,1,212,83,121,8,212,0.5707547169811321,0.0377358490566037,33.698113207547166,35.45783132530121,34.289256198347104,6.5,7144.0,34.84238705545101,47.68653716613318,30.942924915548524,11.634245017712324,0.3759904743803398,92.0,84.0,1.0952380952380951,53.28367948695804,6.0,0.0424528301886792,7.952085918789704,25.73092867302636,9.45242413363849,0.4297520661157025,1.0,0.0660377358490566,0.1095673192222163,14.0,32,32,36,32,4,0,54.8125,0.0,54.8125,54.8125,1900.0,0.009375,0.0,21.3578842406003,18.990135885634512,0.0006051512399095,18.990135885634512,70.0,1.477455411106348,90.0,3.982347846031189,0.9652619659900664,0.6674338825187593,0.0121766728851769,0.0178360849056603,0.4013959438471345,0.5675878255192851,0.340552695311571,1.8180081064179192
4,1740,growth,1,213,84,123,6,213,0.5774647887323944,0.028169014084507,34.16901408450704,36.38095238095238,33.78861788617886,11.0,7278.0,35.39289100181329,48.13168760438001,31.190404501186165,11.768064027028403,0.3772975764575565,94.0,85.0,1.1058823529411763,52.80380427585392,6.708203932499369,0.0422535211267605,8.140060957788899,25.801999704275342,9.10024737296865,0.4227642276422764,1.0,0.0629107981220657,0.0714083228312747,13.4,32,32,36,32,4,0,54.78125,0.0,54.78125,54.78125,1900.0,-0.003125,0.0,21.541161519261035,18.857518247595415,0.00146109626815,18.857518247595415,70.0,1.4770867321640253,90.0,3.982347846031189,0.9583213627338408,0.6731612974769073,0.0122881697200576,0.0180457746478873,0.3993696403497623,0.5650648280732025,0.3390388968439214,1.8161256290079468
4,1750,growth,1,217,89,118,10,217,0.543778801843318,0.0460829493087557,34.27188940092166,36.853932584269664,34.71186440677966,6.1,7437.0,35.48042459092382,48.6546053683395,31.15341993762799,12.237682832461036,0.392819884846094,94.0,85.0,1.1058823529411763,53.615470916112706,6.082762530298219,0.0414746543778801,8.38226671529033,25.584703203830525,9.418637125234508,0.423728813559322,1.0,0.0732718894009216,0.0739937109881282,15.9,33,33,37,33,4,0,53.15151515151515,0.0,53.15151515151515,53.15151515151515,1900.0,0.003030303030303,0.0,21.624843395250732,18.79688908537412,0.0036334026394347,18.79688908537412,70.0,1.4422327704501874,90.0,3.982347846031189,0.9514677375555038,0.6552982847045676,0.0123288730873721,0.0164781455104035,0.3998618213911348,0.5650761866462598,0.3390457119877558,1.7812784824379433
4,1760,growth,1,217,91,121,5,217,0.5576036866359447,0.0230414746543778,34.97235023041475,36.86813186813187,34.49586776859504,12.0,7589.0,36.48924947993547,49.14930036377718,32.23016833746776,11.882627054242484,0.3686802665696555,94.0,86.0,1.0930232558139534,53.13764840773559,6.324555320336759,0.0506912442396313,8.536690470586219,26.162193593121778,8.365405458921225,0.4049586776859504,1.0,0.0700460829493087,0.1008824889011646,15.2,33,33,37,33,4,0,53.09090909090909,0.0,53.09090909090909,53.09090909090909,1900.0,-0.006060606060606,0.0,22.17145332652852,18.297088818616032,0.0017872849176308,18.297088818616032,70.0,1.4387504052032123,90.0,3.982347846031189,0.9450046718120576,0.6718622220160158,0.0126549391133153,0.0168970814132104,0.3956318653189535,0.5600213566930597,0.3360128140158358,1.774763219219048
4,1770,growth,1,223,95,121,7,223,0.5426008968609866,0.0313901345291479,34.82959641255606,37.589473684210525,34.04132231404959,11.0,7767.0,36.26192449561149,49.72235800914416,32.22443826641204,12.226910099798108,0.3794297358642363,96.0,88.0,1.0909090909090908,54.12109356459269,7.0,0.0403587443946188,9.354491437662782,26.17826312902815,9.84695397242858,0.4297520661157025,1.0,0.0798206278026905,0.0754448544284153,17.8,33,33,37,33,4,0,53.24242424242424,0.0,53.24242424242424,53.24242424242424,1900.0,0.0151515151515151,0.0,22.085987514444533,18.35425680528307,0.0031240883329852,18.35425680528307,70.0,1.3960876726742946,90.0,3.982347846031189,0.939179390668869,0.6692723489225616,0.012570283161323,0.0164424514200298,0.3963581690302338,0.5604358758015431,0.3362615254809258,1.7323491981552204
4,1780,growth,1,227,97,121,9,227,0.5330396475770925,0.039647577092511,34.88546255506608,38.01030927835052,33.90909090909091,14.333333333333334,7919.0,36.130192693634704,50.20653332674382,32.4198371369429,12.361685184595531,0.3813000396139931,97.0,89.0,1.0898876404494382,54.03705088396699,7.0710678118654755,0.0484581497797356,9.356814009168952,26.528347048163983,10.169188870844293,0.4297520661157025,1.0,0.0669603524229074,0.050724484111769,15.2,33,33,37,33,4,0,53.45454545454545,0.0,53.45454545454545,53.45454545454545,1900.0,0.0212121212121212,0.0,22.055747767377003,18.245545696056887,0.0036570423729096,18.245545696056887,70.0,1.3960150462208372,90.0,3.982347846031189,0.9340467154979706,0.6683559929508183,0.0125032583715289,0.0161527165932452,0.3955113688538298,0.5593042901718315,0.3355825741030989,1.731597620323936
4,1790,growth,1,236,101,126,9,236,0.5338983050847458,0.0381355932203389,34.271186440677965,37.92079207920792,32.96031746031746,11.666666666666666,8088.0,35.226450604907534,50.73943593945935,32.70754459063953,12.314575436543342,0.3765056530739275,98.0,89.0,1.101123595505618,54.97195993724953,7.280109889280518,0.0381355932203389,9.234494106671685,26.72645721486534,9.934607029074408,0.4206349206349206,1.0,0.0716101694915254,0.0474104242809748,16.9,33,33,37,33,4,0,53.60606060606061,0.0,53.60606060606061,53.60606060606061,1900.0,0.0151515151515151,0.0,21.91460489418547,18.200318981025177,0.0037359992388029,18.200318981025177,70.0,1.3732425502755423,90.0,3.982347846031189,0.9298083037137984,0.6640789361874385,0.012388131653016,0.0161787365177195,0.3953695813757403,0.5592839391871048,0.3355703635122629,1.7088129137878054
4,1800,growth,1,245,97,134,14,245,0.5469387755102041,0.0571428571428571,33.457142857142856,38.123711340206185,32.656716417910445,8.785714285714286,8197.0,34.62030961951431,51.08019319705567,32.476783142036524,12.59261032919619,0.3877419224103162,100.0,89.0,1.1235955056179776,54.74995145524298,6.0,0.0448979591836734,8.504652912489611,27.017433737512743,10.732648315912344,0.417910447761194,1.0,0.0444897959183673,0.0687891893970723,10.9,33,33,37,33,4,0,53.78787878787879,0.0,53.78787878787879,53.78787878787879,1900.0,0.0181818181818181,0.0,21.59946011913066,18.42435437416544,0.0036745092374249,18.42435437416544,70.0,1.3773597284699932,90.0,3.982347786426544,0.9267963469028472,0.6545290945191109,0.0121687099262707,0.016573902288188,0.3984259499958427,0.5625502087852804,0.3375301252711682,1.7148898537411614
4,1810,growth,1,262,102,143,17,262,0.5458015267175572,0.0648854961832061,31.85496183206107,37.47058823529411,30.53146853146853,9.294117647058824,8346.0,32.694442901902526,51.54235452605864,32.57488157182924,12.726185153087917,0.3906747941669731,100.0,92.0,1.0869565217391304,53.85730141444386,5.0990195135927845,0.0534351145038167,8.826157747066443,27.32161590390309,10.768593889478684,0.4265734265734265,1.0,0.0568702290076335,0.0320489250066626,14.9,33,33,37,33,4,0,53.96969696969697,0.0,53.96969696969697,53.96969696969697,1900.0,0.0181818181818181,0.0,21.97956068825176,18.4005885888602,0.0079330051474214,18.4005885888602,70.0,1.3600668798793445,90.0,3.982347548007965,0.9251450747251512,0.6660472935833867,0.012341134580714,0.0165394402035623,0.3974005112122662,0.5603879153529839,0.3362327492117903,1.696299629091135
4,1820,growth,1,270,108,141,21,270,0.5222222222222223,0.0777777777777777,31.377777777777776,35.69444444444444,31.141843971631207,10.761904761904765,8472.0,32.059623040093314,51.929965874715094,32.6869257319907,12.975069025831225,0.3969498120507712,101.0,91.0,1.10989010989011,52.563947249788555,5.0990195135927845,0.0703703703703703,8.599159861863846,27.40621009667922,11.248756549509576,0.4113475177304964,1.0,0.0466666666666666,0.0333904372321234,12.6,33,33,37,33,4,0,53.878787878787875,0.0,53.878787878787875,53.878787878787875,1900.0,-0.009090909090909,0.0,22.36943494655468,18.22256179385715,0.004808685500999,18.22256179385715,70.0,1.3687154610048642,90.0,3.982347130775452,0.9245870411396028,0.6778616650471115,0.0125812345031241,0.0158249158249158,0.3949673974104141,0.5565622793912378,0.3339373676347427,1.7026528286396068
