run,mcs,phase,is_growth_window,tumor_cells,normal_cells,hypoxic_cells,necrotic_cells,tumor_like_cells,hypoxic_fraction,necrotic_fraction,avg_tumor_volume,total_tumor_volume,avg_tumor_target_volume,avg_tumor_volume_growth_rate,avg_tumor_target_growth_rate,total_tumor_volume_growth_rate,endothelial_cells,vascular_like_cells,active_neovascular_cells,vascular_cells,inactive_neovascular_cells,avg_endothelial_volume,avg_vascular_volume,avg_endothelial_volume_growth_rate,avg_vascular_volume_growth_rate,mean_tumor_oxygen,mean_tumor_vegf,mean_tumor_vegf1,mean_tumor_vegf2,mean_endothelial_oxygen,mean_endothelial_vegf,mean_vascular_oxygen,mean_vascular_vegf1,mean_vascular_vegf2,mean_tumor_hif1a,mean_tumor_vegf_drive,mean_hif_vegf2_boost,mean_endothelial_effective_vegf2
5,200,growth,1,204,204,0,0,204,0.0,0.0,21.53921568627451,4394.0,22.5,-0.0014705882352941,0.0,-0.3,13,17,0,4,13,55.46153846153846,1900.0,0.1692307692307692,0.0,9.18829512070207,0.0,6.463459099853526e-29,0.0,70.0,0.0,90.0,3.9821277260780334,0.0,0.5756601579268853,0.7247264687786291,0.4348358812671775,0.4348358812671775
5,210,growth,1,204,204,0,0,204,0.0,0.0,21.534313725490197,4393.0,22.5,-0.0004901960784313,0.0,-0.1,14,18,0,4,14,53.857142857142854,1900.0,0.2357142857142857,0.0,9.447965652919285,0.0,2.35351739386423e-28,0.0,70.0,0.0,90.0,3.9821966886520386,0.0,0.5701974239598631,0.7208345856652142,0.4325007513991285,0.4325007513991285
5,220,growth,1,204,204,0,0,204,0.0,0.0,21.534313725490197,4393.0,22.5,0.0,0.0,0.0,16,20,0,4,16,48.6875,1900.0,0.15625,0.0,9.64558888650408,0.0,7.159839889837507e-28,0.0,70.0,0.0,90.0,3.9822424054145817,0.0,0.5653067252100002,0.7173344993253855,0.4304006995952313,0.4304006995952313
5,230,growth,1,204,204,0,0,204,0.0,0.0,21.58823529411765,4404.0,22.5,0.005392156862745,0.0,1.1,17,21,0,4,17,47.411764705882355,1900.0,0.1588235294117647,0.0,9.824014160562964,0.0,3.15611550434325e-27,0.0,70.0,0.0,90.0,3.982273280620575,0.0,0.5610241875076913,0.7142318033081768,0.4285390819849061,0.4285390819849061
5,240,growth,1,204,204,0,0,204,0.0,0.0,21.534313725490197,4393.0,22.5,-0.005392156862745,0.0,-1.1,17,21,0,4,17,49.588235294117645,1900.0,0.2176470588235294,0.0,9.97607786281436,0.0,1.1765165633935219e-26,0.0,70.0,0.0,90.0,3.982294261455536,0.0,0.5573249239128342,0.711548533665326,0.4269291201991956,0.4269291201991956
5,250,growth,1,204,204,0,0,204,0.0,0.0,21.647058823529413,4416.0,22.5,0.0112745098039215,0.0,2.3,17,21,0,4,17,51.411764705882355,1900.0,0.1823529411764705,0.0,10.16094745724809,0.0,4.448970485169771e-26,0.0,70.0,0.0,90.0,3.9823092222213745,0.0,0.5539288399644006,0.7091179917429917,0.425470795045795,0.425470795045795
5,260,growth,1,204,204,0,0,204,0.0,0.0,21.55392156862745,4397.0,22.5,-0.009313725490196,0.0,-1.9,17,21,0,4,17,52.705882352941174,1900.0,0.1294117647058823,0.0,10.24307006480647,0.0,5.748996800757047e-26,0.0,70.0,0.0,90.0,3.982319831848145,0.0,0.5508231323440512,0.7068309042902637,0.4240985425741582,0.4240985425741582
5,270,growth,1,204,204,0,0,204,0.0,0.0,21.573529411764707,4401.0,22.5,0.0019607843137254,0.0,0.4,18,22,0,4,18,51.666666666666664,1900.0,0.1888888888888888,0.0,10.34814845346937,0.0,1.5210627547843273e-25,0.0,70.0,0.0,90.0,3.9823277592659,0.0,0.5481522069653365,0.7048668525393003,0.4229201115235801,0.4229201115235801
5,280,growth,1,204,204,0,0,204,0.0,0.0,21.563725490196077,4399.0,22.5,-0.0009803921568627,0.0,-0.2,18,22,0,4,18,53.388888888888886,1900.0,0.1722222222222222,0.0,10.392731103826971,0.0,1.0584213314968535e-25,0.0,70.0,0.0,90.0,3.98233300447464,0.0,0.5459959139250274,0.7032658327251164,0.4219594996350698,0.4219594996350698
5,290,growth,1,204,204,0,0,204,0.0,0.0,21.524509803921568,4391.0,22.5,-0.0039215686274509,0.0,-0.8,18,22,0,4,18,55.27777777777778,1900.0,0.1888888888888888,0.0,10.518254169062072,0.0,3.7534278124041625e-25,0.0,70.0,0.0,90.0,3.982336640357971,0.0,0.5440540472826321,0.701821720034738,0.4210930320208427,0.4210930320208427
5,300,growth,1,204,204,0,0,204,0.0,0.0,21.495098039215687,4385.0,22.5,-0.0029411764705882,0.0,-0.6,18,22,0,4,18,57.05555555555556,1900.0,0.1777777777777777,0.0,10.602333932530646,0.0,7.299749429632045e-25,0.0,70.0,0.0,90.0,3.982339322566986,0.0,0.5423984654440123,0.7006118277524597,0.4203670966514758,0.4203670966514758
5,310,growth,1,204,0,98,106,204,0.4803921568627451,0.5196078431372549,20.764705882352946,4236.0,12.158317023632572,-0.0730392156862745,-1.0341682976367428,-14.9,18,22,0,4,18,58.22222222222222,1900.0,0.1166666666666666,0.0,11.586333246792064,2.467527319257166,2.433750504364367e-25,2.467527319257166,70.0,2.0516995870300279e-07,90.0,3.982341349124909,3.481402721661197e-09,0.534588232732931,0.6962505471679088,0.4177503283007452,0.4177505334707039
5,320,growth,1,202,0,96,106,202,0.4752475247524752,0.5247524752475248,19.064356435643564,3851.0,13.352771022532243,-0.1905940594059406,0.1074074622428063,-38.5,18,22,0,4,18,59.888888888888886,1900.0,0.1666666666666666,0.0,12.224631894933117,5.062382673272992,6.796715425274407e-26,5.062382673272992,70.0,0.0002264179875633,90.0,3.982342839241028,5.195769790589111e-05,0.5229135010348295,0.6897595431439288,0.4138557258863573,0.4140821438739205
5,330,growth,1,177,0,96,81,177,0.5423728813559322,0.4576271186440678,19.89265536723164,3521.0,16.73839280295507,-0.1864406779661017,0.1499637172720526,-33.0,18,22,0,4,18,61.27777777777778,1900.0,0.1388888888888889,0.0,12.726520064186914,8.062245228869767,9.929437638169616e-27,8.062245228869767,70.0,0.0027406581540832,90.0,3.9823440313339233,0.0013356837735045,0.509664271625965,0.680435063520303,0.4082610381121818,0.411001696266265
5,340,growth,1,130,0,94,36,130,0.7230769230769231,0.2769230769230769,25.692307692307693,3340.0,24.33312606811523,-0.1392307692307692,0.1543160482553335,-18.1,18,22,0,4,18,62.44444444444444,1900.0,0.1166666666666666,0.0,13.5061830667349,11.424811436579777,5.651510100579779e-27,11.424811436579777,70.0,0.0105241006511076,90.0,3.982345044612885,0.0071354459505528,0.4887839930270825,0.6631623530135689,0.3978974118081413,0.4084215124592489
5,350,growth,1,98,0,91,7,98,0.9285714285714286,0.0714285714285714,33.755102040816325,3308.0,33.88645670365314,-0.0326530612244898,0.1607820082683952,-3.2,18,22,0,4,18,63.44444444444444,1900.0,0.1,0.0,14.870343500254103,14.022908171828911,1.009124235377094e-26,14.022908171828911,70.0,0.0236674852510784,90.0,3.982345759868622,0.019906694535166,0.4650169368950936,0.6426411097527054,0.3855846658516232,0.4092521511027017
