run,mcs,phase,is_growth_window,tumor_cells,normal_cells,hypoxic_cells,necrotic_cells,tumor_like_cells,hypoxic_fraction,necrotic_fraction,avg_tumor_volume,avg_normal_volume,avg_hypoxic_volume,avg_necrotic_volume,total_tumor_volume,avg_tumor_target_volume,tumor_effective_radius,tumor_mean_radius,tumor_radius_std,tumor_radial_cv,tumor_span_x,tumor_span_y,tumor_aspect_ratio,mean_tumor_to_vessel_distance,min_tumor_to_vessel_distance,tumor_near_vessel_fraction,hypoxic_core_offset,hypoxic_mean_radius,necrotic_mean_radius,hypoxic_inner_fraction,necrotic_inner_fraction,normal_fraction,vessel_coverage_gap,normal_mean_radius,mean_dist_to_sprout,min_dist_to_sprout,proximity_threshold,avg_tumor_volume_growth_rate,avg_tumor_target_growth_rate,total_tumor_volume_growth_rate,mean_tumor_oxygen,mean_tumor_vegf,mean_tumor_vegf1,mean_tumor_vegf2,mean_tumor_hif1a,mean_tumor_vegf_drive,mean_hif_vegf2_boost
10,1600,growth,1,248,40,135,73,248,0.5443548387096774,0.2943548387096774,24.16532258064516,26.575,33.80740740740741,5.013698630136986,5993.0,22.428132626318163,43.67643698722983,24.37616458518637,13.51174486497182,0.5543015111238229,90.0,82.0,1.0975609756097562,73.54453044201804,49.09175083453431,0.0,1.5639768732081316,28.335553553999727,7.282972260466584,0.237037037037037,1.0,0.1612903225806451,-0.1612903225806451,42.20830280805488,0.0,0.0,15.0,-0.0120967741935483,0.0090491525588497,-3.0,15.766073092337578,22.270492188392147,6.4760655212543574e-21,22.270492188392147,0.4503687591024545,0.6236082531989307,0.3741649519193584
10,1610,growth,1,243,40,134,69,243,0.551440329218107,0.2839506172839506,24.60082304526749,27.025,33.96268656716418,5.0144927536231885,5978.0,23.24448072174449,43.62174342695051,24.095430532972163,13.652125793246157,0.5665856758427537,89.0,80.0,1.1125,73.64692845944076,50.039984012787215,0.0,0.7906438772909083,27.764338438257,6.479085004529929,0.2462686567164179,1.0,0.1646090534979424,-0.1646090534979424,42.19278508683081,0.0,0.0,15.0,-0.0061728395061728,0.0354863885008258,-1.5,15.766164395053693,22.40663870273794,4.1363855181799555e-21,22.40663870273794,0.4502571716960885,0.6234893276891593,0.3740935966134955
10,1620,growth,1,235,43,130,62,235,0.5531914893617021,0.2638297872340425,25.493617021276595,27.3953488372093,34.69230769230769,4.887096774193548,5991.0,24.075168715132044,43.669148470368526,24.493906833963973,13.59446656410642,0.5550142186895205,90.0,80.0,1.125,73.34838764228495,49.16299421312742,0.0,1.0280733509708273,27.197135536181005,6.632074530567394,0.2769230769230769,1.0,0.1829787234042553,-0.1829787234042553,42.075624776344746,0.0,0.0,15.0,0.005531914893617,0.0039386522009017,1.3,15.97934561384485,22.405410677321413,5.5741897702753815e-21,22.405410677321413,0.4481547879770755,0.621370789707582,0.3728224738245492
10,1630,growth,1,224,40,124,60,224,0.5535714285714286,0.2678571428571428,26.714285714285715,27.975,36.83064516129032,4.966666666666667,5984.0,25.216192815985,43.64362907600379,24.51760042400598,13.648793244187958,0.5566936816061322,91.0,81.0,1.123456790123457,73.31580872369837,49.16299421312742,0.0,1.156954372051766,27.48790099863937,6.545245257601469,0.25,1.0,0.1785714285714285,-0.1785714285714285,42.26820139224923,0.0,0.0,15.0,-0.003125,-0.0041238648550851,-0.7,16.052555939980916,22.457078137568065,6.956103521382748e-21,22.457078137568065,0.446952223836326,0.6200655191244703,0.3720393114746821
10,1640,growth,1,217,40,125,52,217,0.576036866359447,0.2396313364055299,27.42396313364055,28.675,36.04,5.75,5951.0,25.87883116902294,43.52312181679686,25.128747506769447,13.40428978176947,0.533424508251296,90.0,80.0,1.125,72.85817887568534,49.25444142409901,0.0,1.3678354886490798,27.55911108604976,6.306221219515174,0.248,1.0,0.184331797235023,-0.184331797235023,42.003145494949024,0.0,0.0,15.0,-0.0152073732718894,-0.0150787221671249,-3.3,16.28025509355255,22.416455954450615,5.5851549168544665e-21,22.416455954450615,0.4429709468854444,0.6161082147492427,0.3696649288495456
10,1650,growth,1,215,40,122,53,215,0.5674418604651162,0.2465116279069767,27.6046511627907,29.525,36.50819672131148,5.660377358490566,5935.0,26.201573837635127,43.464573787175205,24.942094080778016,13.507425280862886,0.5415513724355878,89.0,80.0,1.1125,72.98277661856375,50.00999900019995,0.0,0.8584349654157319,27.500015550798643,6.209902254338587,0.2540983606557377,1.0,0.1860465116279069,-0.1860465116279069,41.96058776724735,0.0,0.0,15.0,-0.0074418604651162,0.0082009355411973,-1.6,16.260503303172978,22.49029275761094,4.5070545313043376e-21,22.49029275761094,0.4436430842795372,0.6167754607387216,0.3700652764432329
10,1660,growth,1,218,39,129,50,218,0.591743119266055,0.2293577981651376,27.178899082568808,30.205128205128204,34.96124031007752,4.74,5925.0,25.806437212392822,43.427941185819066,24.716629259968055,13.27321871552277,0.5370157304184092,89.0,79.0,1.1265822784810129,73.15610418985213,50.15974481593781,0.0,1.5112732996178369,26.711402689747036,6.210677559491944,0.2790697674418604,1.0,0.1788990825688073,-0.1788990825688073,41.84411163387361,0.0,0.0,15.0,-0.0045871559633027,-0.0034564508210628,-1.0,16.157073073430894,22.62714408734523,3.929730693719591e-21,22.62714408734523,0.4441707345180464,0.6174947823999914,0.3704968694399949
10,1670,growth,1,228,41,133,54,228,0.5833333333333334,0.2368421052631578,25.82894736842105,31.26829268292683,32.661654135338345,4.87037037037037,5889.0,24.366939101302833,43.29580718425681,24.51074858237161,13.137028687687648,0.535970113011397,88.0,78.0,1.1282051282051282,73.3415230604947,50.635955604688654,0.0,1.1074199192245011,26.766232498826767,6.118290511396838,0.2932330827067669,1.0,0.1798245614035087,-0.1798245614035087,41.41839187369117,0.0,0.0,15.0,-0.0157894736842105,-0.0307636829844692,-3.6,16.060158842488338,22.777452845322458,2.5646800472196058e-21,22.777452845322458,0.444359867365969,0.6178963187418035,0.3707377912450821
10,1680,growth,1,225,39,135,51,225,0.6,0.2266666666666666,25.977777777777774,31.615384615384617,32.303703703703704,4.921568627450981,5845.0,24.881675415039066,43.13376038260815,24.631205220571072,13.03274798313302,0.5291153180051682,88.0,79.0,1.1139240506329111,73.13654900424036,50.48762224545735,0.0,1.5890398309677825,26.81093219852502,6.0187383435196224,0.2814814814814815,1.0,0.1733333333333333,-0.1733333333333333,41.425376213028535,0.0,0.0,15.0,-0.0195555555555555,0.0189843792385525,-4.4,16.10703958299425,22.75970483991835,2.430157858758471e-21,22.75970483991835,0.4437269018918777,0.6174000797172088,0.3704400478303252
10,1690,growth,1,217,38,134,45,217,0.6175115207373272,0.2073732718894009,26.95852534562212,32.921052631578945,32.559701492537314,5.2444444444444445,5850.0,26.1608820357081,43.152205438136946,24.932368201274823,12.886622093172791,0.5168631390785366,88.0,77.0,1.1428571428571428,73.03302603752576,50.00999900019995,0.0,1.6779561918196475,26.757656026849467,5.662130455635872,0.2462686567164179,1.0,0.1751152073732718,-0.1751152073732718,41.31584530461037,0.0,0.0,15.0,0.0023041474654377,0.0361909831174507,0.5,16.233447404501074,22.690721186624693,2.6646425237308388e-21,22.690721186624693,0.4426786460573461,0.6163897989439537,0.3698338793663722
